created_at,tweet_id,tweet_text,screen_name,name,account_creation_date,urls
2021-07-12 21:59:35,29,"I was trying to think of an anagram of 'foolish otters' but then I thought...

Life's too short!",jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
2021-07-12 20:44:09,30,"A woman broke into our local bakery today…

When caught, she told the arresting officers she was desperate and kneaded the dough!",jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
2021-07-12 18:15:14,31,"My uncle was a gynaecologist but he retired last year. He still does a bit of part-time work...

He likes to keep his hand in!",jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
2021-07-12 18:14:41,32,"I was struggling to get my wife’s attention, so I simply sat down and looked comfortable... 

That did the trick!",jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
2021-07-12 18:14:14,33,Yesterday I saw a woman with her breasts out feeding her son in the park. I normally wouldn't have a problem with that but she was giving him a sausage roll!,jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
2021-07-12 16:46:04,34,"A wife is a bit like an old television...

It used to look good, but now it's too big for the room and you can't afford a newer model, so you bang it anyway to keep it going!",jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
2021-07-12 16:45:27,35,"My wife says I plan too far ahead, and she is saying that after only our first date!",jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
2021-07-12 16:44:35,36,"A mugger holds a man at gunpoint and says, ""Give me your wallet or you're science!""

The man says, ""Don't you mean history?""

The mugger yells, ""Don't try to change the fucking subject!""",jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
2021-07-12 16:21:02,37,"I'm best man at a wedding today, but the groom is forcing me to wear lipstick, blusher and mascara…

I'm not too happy about it but I am made up for him!",jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
2021-07-12 16:18:29,38,"I asked the shop assistant, ""Why is your exit sign flickering on and off?""

He replied, ""It's on the way out!""",jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
2021-07-12 11:24:39,39,"I've just won 10 years supply of Marmite...

One jar!",jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
2021-07-12 11:22:46,40,"Someone has collapsed on the luggage carousel at Heathrow Airport...

Medics at the scene report they are coming round slowly!",jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
2021-07-12 11:22:11,41,"I can't stand those people who hate football but still go along to games to cause trouble and ruin it for everybody else...

Fucking referees!",jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
2021-07-11 12:06:12,42,"After calling 5 different home security companies, I've decided it's cheaper to get robbed!",jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
2021-07-11 11:19:49,43,"I told the Police that I've lost my voice…

They said they'd let me know if they hear anything!",jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
2021-07-11 10:30:23,44,"Who'd have thought that taking my giant spoon to my cooking class  would be a problem…

It did cause quite a stir!",jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
2021-07-11 10:29:23,45,"My colleague said to me, ""Could you be any more annoying?""

So the next day I wore my tap shoes to work!",jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
2021-07-11 10:28:44,46,"I was in the jungle and I saw a monkey with a tin opener.

I said, ""You don’t need that for a banana.""

He said, ""I know. It's for the custard!""",jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
2021-07-10 17:07:59,47,"What type of apple grows on a tree?

All of them!",jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
2021-07-10 17:07:30,48,"Have you heard the rumour about butter?

Actually no, I shouldn't spread it!",jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
2021-07-10 17:07:07,49,"Condoms?

Those are for pricks!",jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
2021-07-10 16:07:57,50,"I met a guy in the pub from Wales who was very worried that the Police were going to arrest him for interfering with farm animals…

He is laying low, but obviously having a few sheepless nights!",jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
2021-07-10 16:07:14,51,"I was waiting outside B&amp;Q and my friend called and asked how big the queue was...

I said, ""The same size as the B!""",jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
2021-07-10 16:06:37,52,"My mate told me he's thinking about leaving his wife because she hasn't talked to him for the last 2 months. 

I replied, ""Don't be too fucking hasty. Women like that are hard to find!""",jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
2021-07-10 15:40:20,53,"My inflatable house got a puncture last night…

Now I'm living in a flat!",jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
2021-07-10 15:39:44,54,"I bought a new fridge the other day and put the old one in my front garden with a sign saying 'Free if you want it. Please take it'. It sat there for three days, but no one wanted it.

I then changed the sign to 'For sale £50'. The next day, it got nicked!",jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
2021-07-10 11:07:20,55,"I went to a meeting of the Chesney Hawkes Fan Club' last night, but there was a very poor turn out…

I was the one and only!",jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
2021-07-09 16:38:57,56,"I named my dog 'Five Miles'.

Now I can tell people I walk five miles twice a day!",jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
2021-07-09 16:37:45,57,"My neighbour says he is too afraid to plant an apple tree…

I told him, ""Grow a pear!""",jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
2021-07-09 16:37:15,58,"The doctor said, ""There's no good way to tell you this…""

I said, ""What if you get your tits out? That might soften the blow!""",jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
2021-07-08 20:53:49,59,"I've just had a bloke knock on my door asking me to sign the organ donor register…

I thought, there's a man after my own heart!",jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
2021-07-08 20:52:17,60,"When I came downstairs this morning, I saw a yoghurt floating right across my kitchen...

I think it might be some kind of paranormal activia!",jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
2021-07-08 20:48:09,61,"I tried to smuggle a rugby ball through customs...

I thought it was worth a try!",jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
2021-07-07 22:14:41,62,"Whilst driving home from my sister’s wedding, my wife asked, ""What was the most emotional part for you?""

I replied, ""When they said the free bar was closing!""",jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
2021-07-07 19:51:53,63,"I read a survey that stated 82% of people enjoy being cuddled…

Judging by the reaction on the train this morning I would say it's more like less than 1%!",jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
2021-07-07 19:51:08,64,"I really need to get a pube trimmer… 

When I get a hard on, it looks like Pinocchio has joined the fucking Taliban!",jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
2021-07-07 16:30:37,65,"Got up this morning and ran around the block 5 times…

Then I got tired, so I picked up the block and put it back in the toy box!",jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
2021-07-07 11:21:33,66,"To all the people who say that my turntables are at a slight angle, I'd like to set the record straight!",jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
2021-07-07 11:20:49,67,"How does Rocky eat his pizza?

Sliced, alone!",jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
2021-07-07 11:20:14,68,"I've just discovered that Bruce Lee had a vegetarian brother...

Broco Lee!",jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
2021-07-06 22:32:37,69,"A Welsh bloke persuades his girfriend to try anal for the first time.
He says, ""If it hurts too much, yell the safety word and I'll stop.""

She says, ""OK, what's the safety word?""

""Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch!""",jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
2021-07-06 22:30:58,70,"My wife thinks our sex life has got boring and I'm easily distracted…

Oh well, better get back to it I suppose!",jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
2021-07-06 22:00:14,71,"Had a little tear watching Spain go out of the Euros…

If you’d like to donate, please feel free to do so!",jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
2021-07-06 20:33:17,72,"I saw my neighbour stealing all my socks off my washing line…

I was going to confront him but I got cold feet!",jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
2021-07-06 20:32:26,73,Having trouble with fractions? Our helpline is open 24/7,jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
2021-07-06 20:32:01,74,"What do you call a Scotsman with diarrhoea?

Bravefart",jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
2021-07-06 16:49:31,75,"I used to have a job collecting leaves… 

I was raking it in!",jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
2021-07-06 16:26:38,76,"I'lll never forget the day I met my wife at a Fancy Dress party. She was stood there looking gorgeous and slim next to her fat mate. They'd gone together dressed as the number 10...

I knew then, she was the one!",jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
2021-07-06 11:36:00,77,"I telephoned a friend as I thought she would be late for our fancy dress party. ""I'll be there in a jiffy!"" she said.

She arrived on time in a giant padded envelope!",jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
2021-07-05 20:20:24,78,"BREAKING: Robbie Williams has given up singing to teach geometry…

He's loving angles instead!",jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
2021-07-05 19:32:54,79,"I ordered my favourite dish last night, grilled fish in a herb sauce. But when it came I thought it tasted a bit funny...

I thought about sending it back, but I  wasn't sure if it was the thyme or the plaice!",jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
2021-07-05 19:32:18,80,"I took a nurse back to my place last night for sex. As I stripped off I said to her, ""You must have seen a few dicks where you work. How do you rate mine?""

She said, ""It's slightly bigger than most I see.""

""Thanks,"" I said. ""What sort of nursing do you do?""

""I'm a midwife!""",jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
2021-07-05 17:20:34,81,"My mate didn't believe I could make a car out of an old washing machine…

Should have seen his face when I took it for a spin!",jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
2021-07-05 08:38:46,82,"It's always flattering to be told you have a nice arse...

Unless it's during a prostate examination!",jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
2021-07-05 08:37:56,83,"Anyone who can spell the word drawer backwards, will get a reward!",jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
2021-07-05 08:37:24,84,"I saw an advert saying, ""Hairpieces from £5.""

I thought, ""That's a small price toupee!""",jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
2021-07-04 22:17:34,85,"A man who lost his ears in a freak accident has had a groundbreaking operation of having two pigs ear grafted on in place.

A hospital spokesperson said, ""The operation was a success and the man can hear, though he's experiencing a lot of crackling!""",jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
2021-07-04 16:29:54,86,I cried when I was a kid so I’m setting up a gofundme page,jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
2021-07-04 12:04:45,87,"I threw a a party for all the workers who helped build my house. The door guy showed up late...

But he really knew how to make an entrance!",jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
2021-07-04 12:04:11,88,"I was busy in my garden and the neighbour looked over the fence and said, ""What are you doing?""

I said, ""I'm putting all my plants in alphabetical order.""

She replied, ""Really? I don't know how you find the time.""

""Oh that's easy,"" I said. ""It's right next to the sage!""",jokesuk,Jokes UK 🔞,Mon Nov 09 22:52:31 +0000 2015,[]
