,1,2,3,4,5,6,7,8,9,10
1,0,0,0,0,0,0,0,0,0,0
2,3,0,0,0,0,0,0,0,0,0
3,3,2,0,0,0,0,0,0,0,0
4,2,7,6,0,0,0,0,0,0,0
5,8,2,5,4,0,0,0,0,0,0
6,7,4,4,4,3,0,0,0,0,0
7,5,7,4,3,6,1,0,0,0,0
8,6,3,6,4,5,4,4,0,0,0
9,2,6,6,3,3,7,8,4,0,0
10,4,6,4,6,5,6,3,4,2,0
